Document URL,Company,Standard Metric Name,New standard metric?,Name in the text,Raw value,Scaled value,Scale/unit,Period,Definition,Quote/context,segment_type,is_definition_only,value_context,detection_difficulty,period_start,period_end,duplicate_group
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_active_customers_total,,"11,321","11,321",11321.0,count,5-May-19,,"11,321",table,,,medium,,2019-05-05,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_active_customers_total,,"7,830","7,830",7830.0,count,29-Apr-18,,"7,830",table,,,medium,,2018-04-29,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_active_customers_total,,"3,034","3,034",3034.0,count,3-Feb-19,,"3,034",text,,,hard,,2019-02-03,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_active_customers_total,,"6,789","6,789",6789.0,count,3-Feb-19,,"6,789",text,,,hard,,2019-02-03,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_active_customers_total,,"10,585","10,585",10585.0,count,3-Feb-19,,"10,585",text,,,hard,,2019-02-03,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_active_customers_total,,"10,585","10,585",10585.0,count,31-Dec-18,,"10,585",table,,,easy,2018-01-01,2018-12-31,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_active_customers_total,,"6,789","6,789",6789.0,count,31-Dec-17,,"6,789",table,,,easy,2017-01-01,2017-12-31,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_active_customers_total,,"3,034","3,034",3034.0,count,31-Dec-16,,"3,034",table,,,easy,2016-01-01,2016-12-31,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_customers_period_end,,10.6 million,10.6 million,10600000,count,3-Feb-19,,10.6 million,text,,,medium,,2019-02-03,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_customers_period_end,,3 million,3 million,3000000,count,3-Feb-19,,3 million,text,,,medium,,2019-02-03,
